panel_id,level,source_plan,slab_id,polygon,area_m2,holes,hole_status,thickness_m,qG_kN_m2,status,template,notes
ROOF_P_LB_c1_r3,ROOF,2024_22-102-Model,S_ROOF_TYP,"3.750000,11.885000;7.500000,11.885000;7.500000,16.150000;3.750000,16.150000",15.99375,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_LB_c2_r0,ROOF,2024_22-102-Model,S_ROOF_TYP,"7.500000,0.000000;11.250000,0.000000;11.250000,4.265000;7.500000,4.265000",10.875,"7.500000,2.900000;11.250000,2.900000;11.250000,4.265000;7.500000,4.265000",principal=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_LB_c2_r1,ROOF,2024_22-102-Model,S_ROOF_TYP,"7.500000,4.265000;11.250000,4.265000;11.250000,8.900000;7.500000,8.900000",3.675,"7.500000,4.265000;11.250000,4.265000;11.250000,7.920000;7.500000,7.920000",principal=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_LB_c2_r2,ROOF,2024_22-102-Model,S_ROOF_TYP,"7.500000,8.900000;11.250000,8.900000;11.250000,11.885000;7.500000,11.885000",11.19375,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_LB_c2_r3,ROOF,2024_22-102-Model,S_ROOF_TYP,"7.500000,11.885000;11.250000,11.885000;11.250000,16.150000;7.500000,16.150000",15.99375,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_RB_c0_r0,ROOF,2024_22-102-Model,S_ROOF_TYP,"11.250000,0.000000;16.250000,0.000000;16.250000,8.900000;11.250000,8.900000",19.4,"11.250000,2.900000;16.250000,2.900000;16.250000,7.920000;11.250000,7.920000",principal=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_RB_c0_r1,ROOF,2024_22-102-Model,S_ROOF_TYP,"11.250000,8.900000;16.250000,8.900000;16.250000,16.150000;11.250000,16.150000",36.25,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_RB_c1_r0,ROOF,2024_22-102-Model,S_ROOF_TYP,"16.250000,0.000000;21.250000,0.000000;21.250000,8.900000;16.250000,8.900000",29.36408,"16.250000,2.900000;16.546000,2.900000;16.546000,7.920000;16.250000,7.920000|18.520000,2.920000;21.250000,2.920000;21.250000,7.920000;18.520000,7.920000",principal=CONFIRMED;2do_este=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_RB_c1_r1,ROOF,2024_22-102-Model,S_ROOF_TYP,"16.250000,8.900000;21.250000,8.900000;21.250000,16.150000;16.250000,16.150000",36.25,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_RB_c2_r0,ROOF,2024_22-102-Model,S_ROOF_TYP,"21.250000,0.000000;26.250000,0.000000;26.250000,8.900000;21.250000,8.900000",44.275,"21.250000,2.920000;21.295000,2.920000;21.295000,7.920000;21.250000,7.920000",2do_este=CONFIRMED,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real con hueco de escalera confirmado en su interior (plano 102 + V.I. de borde); espesor/e pendiente
ROOF_P_RB_c2_r1,ROOF,2024_22-102-Model,S_ROOF_TYP,"21.250000,8.900000;26.250000,8.900000;26.250000,16.150000;21.250000,16.150000",36.25,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_RB_c3_r0,ROOF,2024_22-102-Model,S_ROOF_TYP,"26.250000,0.000000;31.250000,0.000000;31.250000,8.900000;26.250000,8.900000",44.5,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
ROOF_P_RB_c3_r1,ROOF,2024_22-102-Model,S_ROOF_TYP,"26.250000,8.900000;31.250000,8.900000;31.250000,16.150000;26.250000,16.150000",36.25,,,,,CONFIRMED_SLAB,ROOF,paño ROOF losa real confirmada (plano 102); espesor/e pendiente
